L,8_tp,101,L
L,8_tp,-35,L
L,8_tp,3_du,L
L,4_tp,101,L
L,28,dat. du.,L
L,28,54,L
L,28,137,L
L,28,-112,L
L,28,101,L
L,28,3_du,L
L,-24,5_sp,L
L,-24,dat. du.,L
L,-24,-151,L
L,-24,-90,L
L,-24,-57,L
L,-24,8_fp,L
L,-24,54,L
L,-24,pl,L
L,-24,153,L
L,-24,28,L
L,-24,-24,L
L,-24,137,L
L,-24,-112,L
L,-24,101,L
L,-24,91,L
L,-24,-35,L
L,-24,3_du,L
L,137,dat. du.,L
L,137,-151,L
L,137,-90,L
L,137,8_fp,L
L,137,54,L
L,137,153,L
L,137,-24,L
L,137,137,L
L,137,-112,L
L,137,101,L
L,137,91,L
L,137,3_du,L
L,-112,5_sp,L
L,-112,dat. du.,L
L,-112,-151,L
L,-112,-57,L
L,-112,8_fp,L
L,-112,169,L
L,-112,54,L
L,-112,pl,L
L,-112,153,L
L,-112,28,L
L,-112,-24,L
L,-112,137,L
L,-112,-112,L
L,-112,101,L
L,-112,91,L
L,-112,-35,L
L,-112,3_du,L
L,89,-24,L
L,89,3_du,L
L,-161,8_fp,L
L,-161,54,L
L,-161,pl,L
L,-161,153,L
L,-161,137,L
L,-161,-112,L
L,-161,101,L
L,-161,-35,L
L,-161,3_du,L
L,-96,dat. du.,L
L,-96,8_fp,L
L,-96,54,L
L,-96,pl,L
L,-96,153,L
L,-96,-24,L
L,-96,137,L
L,-96,-112,L
L,-96,101,L
L,-96,91,L
L,-96,3_du,L
L,174,8_fp,L
L,174,54,L
L,174,101,L
L,162,dat. du.,L
L,162,8_fp,L
L,162,54,L
L,162,pl,L
L,162,28,L
L,162,137,L
L,162,101,L
L,162,3_du,L
L,gen. pl.,137,L
L,gen. pl.,101,L
L,pl_tp,5_sp,L
L,pl_tp,dat. du.,L
L,pl_tp,-57,L
L,pl_tp,8_fp,L
L,pl_tp,54,L
L,pl_tp,pl,L
L,pl_tp,153,L
L,pl_tp,-24,L
L,pl_tp,137,L
L,pl_tp,-112,L
L,pl_tp,101,L
L,pl_tp,91,L
L,pl_tp,-35,L
L,pl_tp,3_du,L
L,101,5_sp,L
L,101,dat. du.,L
L,101,-151,L
L,101,-90,L
L,101,-57,L
L,101,8_fp,L
L,101,169,L
L,101,54,L
L,101,pl,L
L,101,153,L
L,101,135,L
L,101,28,L
L,101,-24,L
L,101,137,L
L,101,-112,L
L,101,101,L
L,101,91,L
L,101,-35,L
L,101,3_du,L
L,91,5_sp,L
L,91,dat. du.,L
L,91,-151,L
L,91,-90,L
L,91,-57,L
L,91,8_fp,L
L,91,169,L
L,91,54,L
L,91,pl,L
L,91,153,L
L,91,135,L
L,91,28,L
L,91,-24,L
L,91,137,L
L,91,-112,L
L,91,101,L
L,91,91,L
L,91,-35,L
L,91,3_du,L
L,-35,-90,L
L,-35,54,L
L,-35,101,L
L,11_fp,5_sp,L
L,11_fp,dat. du.,L
L,11_fp,-57,L
L,11_fp,8_fp,L
L,11_fp,54,L
L,11_fp,pl,L
L,11_fp,153,L
L,11_fp,28,L
L,11_fp,-24,L
L,11_fp,137,L
L,11_fp,-112,L
L,11_fp,101,L
L,11_fp,91,L
L,11_fp,-35,L
L,11_fp,3_du,L
L,3_du,5_sp,L
L,3_du,dat. du.,L
L,3_du,-151,L
L,3_du,-90,L
L,3_du,-57,L
L,3_du,8_fp,L
L,3_du,169,L
L,3_du,54,L
L,3_du,114,L
L,3_du,pl,L
L,3_du,153,L
L,3_du,28,L
L,3_du,-24,L
L,3_du,137,L
L,3_du,-112,L
L,3_du,89,L
L,3_du,101,L
L,3_du,91,L
L,3_du,-35,L
L,3_du,3_du,L
L,8_sp,137,L
L,8_sp,101,L
L,-296,dat. du.,L
L,-296,54,L
L,-296,28,L
L,-296,-24,L
L,-296,137,L
L,-296,-112,L
L,-296,101,L
L,-296,91,L
L,-296,-35,L
L,-296,3_du,L
L,3_sp,5_sp,L
L,3_sp,dat. du.,L
L,3_sp,8_fp,L
L,3_sp,54,L
L,3_sp,pl,L
L,3_sp,153,L
L,3_sp,28,L
L,3_sp,-24,L
L,3_sp,137,L
L,3_sp,-112,L
L,3_sp,101,L
L,3_sp,91,L
L,3_sp,-35,L
L,3_sp,3_du,L
L,120,101,L
L,94,5_sp,L
L,94,dat. du.,L
L,94,8_fp,L
L,94,54,L
L,94,153,L
L,94,-24,L
L,94,137,L
L,94,-112,L
L,94,101,L
L,94,91,L
L,94,3_du,L
L,-200,5_sp,L
L,-200,dat. du.,L
L,-200,8_fp,L
L,-200,54,L
L,-200,pl,L
L,-200,153,L
L,-200,28,L
L,-200,137,L
L,-200,-112,L
L,-200,101,L
L,-200,-35,L
L,-200,3_du,L
L,-81,5_sp,L
L,-81,dat. du.,L
L,-81,8_fp,L
L,-81,54,L
L,-81,pl,L
L,-81,153,L
L,-81,28,L
L,-81,137,L
L,-81,-112,L
L,-81,101,L
L,-81,-35,L
L,-81,3_du,L
L,tp,dat. du.,T
L,tp,101,T
L,5_du,153,T
L,157,54,T
L,157,137,T
L,157,101,T
L,157,3_du,T
L,5_sp,-90,T
L,5_sp,91,T
L,-151,-24,T
L,acc. sg.,101,T
L,-25,137,T
L,-25,101,T
L,-57,91,T
L,8_fp,91,T
L,54,8_fp,T
L,55,101,T
L,-156,101,T
L,-29,54,T
L,-29,137,T
L,-29,101,T
L,153,-24,T
L,-24,pl,T
L,acc,dat. du.,T
L,acc,101,T
L,13_pl,54,T
L,101,-151,T
L,101,8_fp,T
L,91,91,T
L,3_du,91,T
L,35,8_fp,T
L,35,54,T
L,35,pl,T
L,35,101,T
T,gen. sg.,137,L
T,gen. sg.,101,L
T,5_sp,54,L
T,5_sp,-24,L
T,5_sp,137,L
T,5_sp,-112,L
T,5_sp,101,L
T,5_sp,91,L
T,5_sp,3_du,L
T,dat. du.,54,L
T,15_du,dat. du.,L
T,15_du,8_fp,L
T,15_du,54,L
T,15_du,pl,L
T,15_du,153,L
T,15_du,28,L
T,15_du,137,L
T,15_du,-112,L
T,15_du,101,L
T,15_du,3_du,L
T,-151,dat. du.,L
T,-151,8_fp,L
T,-151,54,L
T,-151,pl,L
T,-151,153,L
T,-151,28,L
T,-151,137,L
T,-151,-112,L
T,-151,101,L
T,-151,-35,L
T,-151,3_du,L
T,-306,137,L
T,-306,101,L
T,-90,dat. du.,L
T,-90,8_fp,L
T,-90,54,L
T,-90,153,L
T,-90,137,L
T,-90,-112,L
T,-90,101,L
T,-90,3_du,L
T,-57,8_fp,L
T,-57,54,L
T,-57,pl,L
T,-57,153,L
T,-57,137,L
T,-57,-112,L
T,-57,101,L
T,8_fp,dat. du.,L
T,8_fp,8_fp,L
T,8_fp,54,L
T,8_fp,pl,L
T,8_fp,153,L
T,8_fp,28,L
T,8_fp,-24,L
T,8_fp,137,L
T,8_fp,-112,L
T,8_fp,101,L
